root;features;query_products_count;first_product_decada_profit;ten_product_decada_profit;products_with_sales;avg_price_prev_period;avg_price_period;profit_prev_period;profit_period;sellers;sellers_with_sales;sales_period
блузка;женский,офисный,стильный;29;33227535;12961;13;547;641;1462952;32808743;15;4;40340
блузка;белый,женский,офисный,школьный;36;2924579;37726;28;956;1048;2025822;6454883;17;14;7627
блузка;женский,офисный,трикотажный;23;1206639;12618;17;824;1101;234373;3696112;9;5;5129
рубашка;классический,льняной;29;2327538;47250;16;1695;2037;94446;15239783;6;4;7226
блузка;атласный,женский;112;1552716;161164;68;1053;1103;2662559;6383068;30;15;5486
блузка;боди,длинный,женский;47;1432200;5688;16;348;653;589752;2238174;19;9;1514
блузка;офисный,школьный;168;2924579;73944;97;687;750;3161387;9358181;57;32;10821
офисный;женский,офисный,праздничный;44;686106;18315;27;1239;1064;719832;988956;16;13;1098
блузка;женский,лёгкий,офисный;20;676234;0;9;367;353;18126;2834763;5;1;3650
размер;больший,высокий,женский;246;9931904;68220;104;1173;1134;1132668;19895801;92;41;10880
лосины;женский,зимний;50;21699048;11950;28;407;632;540120;22435507;22;11;10741
леггинсы;зимний,тёплый;133;8365275;75024;68;399;524;5036403;10055467;64;38;11068
брюки;женский,зимний,классический;114;7963156;80100;84;1403;1694;2970292;12346174;32;24;6186
леггинсы;женский,зимний,тёплый;76;3676228;44776;38;455;606;399368;4637538;39;24;3573
леггинсы;беременный,зимний;32;11106700;109750;19;640;803;743722;11007832;23;12;4231
леггинсы;женский,утепленные;33;1193400;841;10;334;475;645962;1564328;26;10;2817
легинсы;женский,тёплый;16;776556;0;9;439;400;800612;1056225;13;9;2360
палаццо;женский,кожаный,матовый;11;1700298;0;7;662;508;1804252;2378073;6;4;2381
велосипедки;высокий,женский;250;539550;10447;79;333;429;1162682;1373719;91;29;2211
леггинсы;зимний,чёрный;14;952360;0;8;469;658;255468;1095428;9;3;1269
леггинсы;высокий,женский;150;943092;76843;50;594;787;1295326;2289350;86;34;2436
леггинсы;женский,кожаный;175;604608;94440;74;696;777;3644228;5179678;94;47;5966
тайтсы;женский,спортивный;218;479709;18240;41;378;368;978752;1267019;74;27;2126
велосипедки;высокий,спортивный,чёрный;20;426150;0;5;662;687;872381;503262;13;2;970
брюки;женский,спортивный,трикотажный;212;900277;42336;59;558;536;1786162;548935;86;29;478
полупальто;больший,женское;13;7192968;0;3;6377;2917;268158;6499608;2;1;642
пуховик;женский,стёганый,удлинённый;21;2122256;0;8;3685;3489;3626769;2289113;5;2;597
премиум;женский,зимний;26;1802736;23088;16;4606;4822;7712636;3695677;6;4;609
пуховик;женский,удлинённый;281;2122256;158760;116;3663;4354;10166089;6769170;83;43;1304
оверсайз;больший,женский,зимний;12;1102500;0;5;1505;4135;1435703;1371511;6;3;332
размер;больший,длинный,женский,зимний;81;1276875;171000;59;6769;6508;7617394;6575839;24;17;1008
шуба;женский,зимний;123;919125;181053;52;8492;16908;879879;6377614;34;22;534
куртка;демисезонный,женский,зимний;280;797720;39539;116;2090;2442;3873422;3477954;81;45;951
осень;зимний;210;186368;14112;91;1584;1746;2535482;3715368;57;32;1967
пуховик;больший,женский;201;1612688;299250;94;4544;4797;9895024;10710524;49;29;1355
водолазка;базовый,водолазка,длинный,женский,тёплый;26;1446625;6520;21;567;780;1820447;2033571;2;1;2497
свитшот;женский,модный,повседневный;76;780975;37647;32;548;683;550642;2063167;9;7;2366
водолазка;базовый,однотонная;37;644358;916;14;489;574;62765;677359;14;7;800
джемпер;тёплый,удлинённый;23;1072338;18560;14;1951;2346;822736;1569772;11;6;887
кофта;длинный,тёплый;287;320859;128898;151;643;954;2279848;5083755;34;23;5251
водолазка;водолазка,женский,мягкий,тёплый,чёрный;105;306128;12996;73;391;713;432766;1093184;1;1;1403
джемпер;длинный,офисный;25;246085;9364;11;599;625;273276;764359;7;3;969
свитер;объёмный;72;806121;63887;36;1083;1321;1791775;3042789;26;11;1260
водолазка;водолазка,женский,чёрный;291;306128;51612;161;389;521;1421922;2154204;40;20;2730
посадка;высокий,женский,широкий;64;1819869;12186;31;1151;967;2598805;2584403;24;13;1611
банан;больший,высокий;13;1021110;5052;10;1084;971;812587;1360493;2;1;1176
